Sport_ID,Sport,Event
22,Athletics,"Athletics Men's 2,590 metres Steeplechase"
14,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
261,Rowing,"Rowing Men's Coxed Fours, Outriggers"
360,Swimming,Swimming Men's 50 yard Freestyle
344,Swimming,Swimming Men's 100 yard Freestyle
350,Swimming,Swimming Men's 220 yard Freestyle
358,Swimming,Swimming Men's 440 yard Freestyle
354,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay
313,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres"
312,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
160,Cycling,"Cycling Men's Team Pursuit, 1,980 yards"
146,Cycling,"Cycling Men's 5,000 metres"
40,Athletics,Athletics Men's 56-pound Weight Throw
118,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres"
126,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres"
291,Sailing,Sailing Mixed 8 metres
63,Athletics,Athletics Men's Standing Triple Jump
28,Athletics,"Athletics Men's 3,000 metres Walk"
10,Art Competitions,Art Competitions Mixed Music
31,Athletics,"Athletics Men's 3,500 metres Walk"
18,Athletics,Athletics Men's 10 mile Walk
7,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event"
53,Athletics,"Athletics Men's Javelin Throw, Both Hands"
218,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports"
217,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work"
43,Athletics,Athletics Men's All-Around Championship
32,Athletics,"Athletics Men's 4 mile, Team"
12,Art Competitions,"Art Competitions Mixed Painting, Unknown Event"
25,Athletics,Athletics Men's 200 metres Hurdles
5,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
256,Motorboating,Motorboating Mixed A-Class (Open)
321,Shooting,"Shooting Men's Trap, Team"
208,Figure Skating,Figure Skating Mixed Pairs
175,Diving,Diving Men's Plain High
422,Weightlifting,"Weightlifting Men's Unlimited, Two Hands"
410,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest
310,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres"
309,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
13,Art Competitions,Art Competitions Mixed Sculpturing
290,Sailing,Sailing Mixed 6.5 metres
6,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
445,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
11,Art Competitions,"Art Competitions Mixed Painting, Paintings"
224,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
184,Equestrianism,"Equestrianism Men's Dressage, Individual"
185,Equestrianism,"Equestrianism Men's Dressage, Team"
397,Tennis,"Tennis Men's Singles, Covered Courts"
